Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Number_Of_Years,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
15.85,reg,0.121531501,Baking_Goods,59.222,22,high,tier_3,supermarket_type1,599.22
18.25,low,0.0,Starchy_Foods,164.7526,7,high,tier_2,supermarket_type1,4604.6728
7.855,low,0.011324862,Canned,189.6188,2,high,tier_2,supermarket_type1,2285.0256
7.825,low,0.186357148,Household,254.3698,10,medium,tier_1,supermarket_type1,5580.7356
8.39,reg,0.024205661,Frozen_Foods,114.0176,12,small,tier_1,supermarket_type1,2290.352
12.85,low,0.033230816,Snack_Foods,172.3422,10,medium,tier_1,supermarket_type1,1207.0954
12.6,low,0.113720344,Baking_Goods,89.9804,24,small,tier_1,grocery_store,643.1628
19.0,low,0.112556507,Frozen_Foods,104.9622,2,small,tier_2,supermarket_type1,1587.933
5.905,low,0.0,Canned,222.5456,7,small,tier_2,supermarket_type1,5305.0944
7.76,low,0.059352241,Snack_Foods,101.87,12,small,tier_1,supermarket_type1,1697.79
11.8,reg,0.014087057,Frozen_Foods,180.3344,12,small,tier_1,supermarket_type1,1427.4752
16.75,low,0.045230944,Snack_Foods,187.9556,0,medium,tier_3,supermarket_type2,4693.89
12.6,low,0.195979015,Household,194.6136,24,small,tier_1,grocery_store,583.2408
12.6,reg,0.031382044,Baking_Goods,171.3764,24,medium,tier_3,supermarket_type3,3091.9752
15.5,reg,0.12639886,Fruits_and_Vegetables,177.0028,2,medium,tier_2,supermarket_type1,2479.4392
6.055,low,0.025403898,Fruits_and_Vegetables,160.992,5,small,tier_2,supermarket_type1,2716.464
12.6,reg,0.039057677,Breakfast,155.963,24,medium,tier_3,supermarket_type3,3285.723
6.305,reg,0.123115764,Snack_Foods,95.6436,12,small,tier_1,supermarket_type1,661.8052
20.85,low,0.039624006,Meat,117.2808,10,medium,tier_1,supermarket_type1,1523.3504
20.75,low,0.040421193,Fruits_and_Vegetables,122.173,11,medium,tier_3,grocery_store,369.519
8.895,low,0.105274111,Dairy,39.9138,10,medium,tier_1,supermarket_type1,690.4346
19.6,low,0.033970195,Soft_Drinks,55.1614,7,medium,tier_2,supermarket_type1,1381.535
19.7,low,0.053212652,Fruits_and_Vegetables,57.893,5,small,tier_2,supermarket_type1,622.523
9.8,low,0.024378706,Health_and_Hygiene,114.5492,5,small,tier_2,supermarket_type1,1274.3412
12.6,low,0.009714595,Frozen_Foods,120.0414,24,small,tier_1,grocery_store,487.3656
12.15,low,0.131383762,Frozen_Foods,246.046,10,medium,tier_1,supermarket_type1,1231.73
8.75,reg,0.07461309,Fruits_and_Vegetables,187.4556,5,small,tier_2,supermarket_type1,3755.112
12.6,low,0.028459761,Household,149.9708,24,medium,tier_3,supermarket_type3,4363.6532
8.75,reg,0.074627201,Fruits_and_Vegetables,187.8556,12,small,tier_1,supermarket_type1,1314.2892
13.3,low,0.063695084,Frozen_Foods,151.0708,7,small,tier_2,supermarket_type1,1805.6496
12.6,reg,0.045797829,Snack_Foods,178.5344,24,medium,tier_3,supermarket_type3,2854.9504
8.31,reg,0.115857223,Snack_Foods,179.1028,10,medium,tier_1,supermarket_type1,3896.2616
16.75,reg,0.024832806,Soft_Drinks,38.7822,22,high,tier_3,supermarket_type1,667.7974
19.75,low,0.034027909,Snack_Foods,212.0902,0,medium,tier_3,supermarket_type2,3185.853
17.1,reg,0.0467696,Canned,141.1838,22,high,tier_3,supermarket_type1,2247.7408
10.5,reg,0.116576702,Baking_Goods,163.121,22,high,tier_3,supermarket_type1,1794.331
6.635,reg,0.0,Baking_Goods,121.3098,7,high,tier_2,supermarket_type1,2530.7058
12.6,low,0.195979015,Soft_Drinks,225.372,24,small,tier_1,grocery_store,679.116
14.15,low,0.035913805,Soft_Drinks,41.4138,22,high,tier_3,supermarket_type1,812.276
13.3,low,0.079806266,Dairy,232.53,12,small,tier_1,supermarket_type1,699.09
8.89,low,0.005505481,Frozen_Foods,102.4016,2,small,tier_2,supermarket_type1,2732.4432
12.6,reg,0.064625342,Meat,176.937,24,small,tier_1,grocery_store,176.437
12.6,low,0.071636937,Snack_Foods,121.7098,24,medium,tier_3,supermarket_type3,4097.3332
9.1,reg,0.0,Breads,173.2054,7,medium,tier_2,supermarket_type1,3151.8972
7.5,low,0.032677678,Frozen_Foods,239.0906,10,medium,tier_1,supermarket_type1,5942.265
16.85,reg,0.160760054,Frozen_Foods,192.4478,2,medium,tier_2,supermarket_type1,4843.695
7.485,low,0.06911065,Snack_Foods,109.0228,5,small,tier_2,supermarket_type1,2542.0244
11.6,low,0.041177505,Soft_Drinks,140.3154,2,small,tier_2,supermarket_type1,2552.6772
11.65,low,0.040081193,Snack_Foods,227.0694,0,medium,tier_3,supermarket_type2,1141.847
13.0,low,0.035307322,Household,47.5034,2,medium,tier_2,supermarket_type1,680.4476
12.65,low,0.063017847,Soft_Drinks,159.0578,7,medium,tier_2,supermarket_type1,2085.9514
20.25,reg,0.171938781,Canned,92.512,11,medium,tier_3,grocery_store,186.424
8.6,reg,0.040197932,Canned,190.153,5,small,tier_2,supermarket_type1,3036.048
12.6,low,0.049058014,Breads,62.7194,2,small,tier_2,supermarket_type1,866.8716
17.7,low,0.01161096,Frozen_Foods,95.041,5,small,tier_2,supermarket_type1,868.869
14.15,low,0.183507295,Soft_Drinks,82.4276,12,small,tier_1,supermarket_type1,1137.1864
19.25,low,0.102349519,Dairy,52.7956,2,small,tier_2,supermarket_type1,928.1252
8.88,low,0.086708987,Hard_Drinks,151.7682,22,high,tier_3,supermarket_type1,762.341
20.5,low,0.032835147,Household,40.2822,7,high,tier_2,supermarket_type1,707.0796
12.6,low,0.033809913,Canned,180.5976,24,medium,tier_3,supermarket_type3,6501.8699
13.5,low,0.07266912,Household,160.292,12,small,tier_1,supermarket_type1,1438.128
12.6,low,0.144338493,Health_and_Hygiene,224.4404,24,medium,tier_3,supermarket_type3,6501.8699
8.89,low,0.009163216,Frozen_Foods,101.7016,11,medium,tier_3,grocery_store,101.2016
7.855,low,0.011307038,Canned,188.5188,0,medium,tier_3,supermarket_type2,952.094
7.235,low,0.076855628,Household,116.0492,12,small,tier_1,supermarket_type1,1969.4364
12.6,low,0.059956876,Starchy_Foods,165.4526,24,medium,tier_3,supermarket_type3,5262.4832
6.92,low,0.038532062,Dairy,60.5852,7,medium,tier_2,supermarket_type1,1314.2892
9.3,low,0.043209581,Fruits_and_Vegetables,90.8172,2,medium,tier_2,supermarket_type1,535.3032
18.5,low,0.056816465,Others,132.1284,11,medium,tier_3,grocery_store,263.6568
8.02,low,0.019866705,Household,154.5972,5,small,tier_2,supermarket_type1,1402.1748
9.195,low,0.048331717,Household,105.1622,2,small,tier_2,supermarket_type1,1693.7952
12.8,low,0.091221855,Others,105.5938,7,small,tier_2,supermarket_type1,2143.876
16.6,low,0.027622076,Household,177.6344,10,medium,tier_1,supermarket_type1,2676.516
14.0,reg,0.0,Frozen_Foods,53.064,5,small,tier_2,supermarket_type1,905.488
18.6,low,0.039355947,Frozen_Foods,246.3802,10,medium,tier_1,supermarket_type1,6501.8699
16.0,low,0.060836524,Starchy_Foods,226.8404,5,small,tier_2,supermarket_type1,6301.1312
17.6,low,0.082316506,Health_and_Hygiene,160.692,5,small,tier_2,supermarket_type1,1597.92
21.25,low,0.155350299,Snack_Foods,178.237,5,small,tier_2,supermarket_type1,529.311
7.235,low,0.076841095,Household,117.5492,5,small,tier_2,supermarket_type1,1969.4364
14.6,low,0.151419185,Soft_Drinks,50.3692,2,small,tier_2,supermarket_type1,1034.6532
13.85,reg,0.026001976,Frozen_Foods,161.521,0,medium,tier_3,supermarket_type2,1794.331
13.65,reg,0.073209447,Frozen_Foods,197.6426,0,medium,tier_3,supermarket_type2,2768.3964
12.6,low,0.041683481,Soft_Drinks,31.29,24,medium,tier_3,supermarket_type3,898.83
7.365,low,0.042560252,Fruits_and_Vegetables,226.172,12,small,tier_1,supermarket_type1,3169.208
18.35,low,0.014081156,Household,223.5746,0,medium,tier_3,supermarket_type2,3589.9936
5.465,reg,0.0,Baking_Goods,132.5626,0,medium,tier_3,supermarket_type2,262.3252
18.6,low,0.152918384,Breakfast,99.8358,2,medium,tier_2,supermarket_type1,1910.1802
13.85,low,0.030969274,Soft_Drinks,140.9154,2,medium,tier_2,supermarket_type1,1701.7848
14.0,reg,0.060376776,Frozen_Foods,154.5656,22,high,tier_3,supermarket_type1,2471.4496
14.0,reg,0.04192285,Snack_Foods,54.764,22,high,tier_3,supermarket_type1,1331.6
12.6,low,0.077367431,Fruits_and_Vegetables,97.0094,24,medium,tier_3,supermarket_type3,1808.9786
5.905,low,0.045838211,Canned,222.5456,0,medium,tier_3,supermarket_type2,3315.684
7.27,low,0.071077939,Soft_Drinks,114.2518,12,small,tier_1,supermarket_type1,2618.5914
6.155,reg,0.094659871,Meat,214.556,12,small,tier_1,supermarket_type1,2769.728
19.5,reg,0.077608838,Soft_Drinks,233.4958,2,small,tier_2,supermarket_type1,5375.0034
15.2,low,0.021327477,Canned,216.8824,2,small,tier_2,supermarket_type1,2838.9712
12.15,reg,0.042485444,Canned,125.0046,0,medium,tier_3,supermarket_type2,1743.0644
12.6,low,0.025578526,Household,198.8084,24,medium,tier_3,supermarket_type3,5555.4352
12.6,low,0.0489808,Breads,61.9194,0,medium,tier_3,supermarket_type2,619.194
14.5,low,0.019471688,Others,164.821,5,small,tier_2,supermarket_type1,2120.573
16.6,low,0.122918852,Fruits_and_Vegetables,173.0738,2,small,tier_2,supermarket_type1,3823.0236
11.8,reg,0.057373797,Meat,151.4366,22,high,tier_3,supermarket_type1,1360.2294
13.1,reg,0.044155597,Fruits_and_Vegetables,178.8318,22,high,tier_3,supermarket_type1,3969.4996
17.7,low,0.195979015,Fruits_and_Vegetables,115.1834,11,high,tier_3,grocery_store,345.5502
17.85,low,0.0,Breads,196.5794,11,high,tier_3,grocery_store,585.2382
12.3,reg,0.064750025,Starchy_Foods,92.6804,7,high,tier_2,supermarket_type1,1010.6844
11.8,low,0.098312421,Health_and_Hygiene,81.4618,11,high,tier_3,grocery_store,161.1236
12.6,reg,0.191013663,Soft_Drinks,42.1112,24,small,tier_1,grocery_store,42.6112
11.1,low,0.176573035,Baking_Goods,157.4604,7,small,tier_2,supermarket_type1,3010.7476
12.6,reg,0.060134441,Frozen_Foods,153.0656,24,medium,tier_3,supermarket_type3,6024.1584
11.3,low,0.007294652,Meat,198.1426,7,medium,tier_2,supermarket_type1,988.713
12.6,low,0.128478462,Health_and_Hygiene,117.944,24,small,tier_1,grocery_store,239.688
5.75,reg,0.075107656,Dairy,112.8176,22,high,tier_3,supermarket_type1,1374.2112
12.6,reg,0.049381406,Baking_Goods,226.8062,24,medium,tier_3,supermarket_type3,4739.8302
11.35,reg,0.045165796,Snack_Foods,100.0016,0,medium,tier_3,supermarket_type2,1012.016
12.6,reg,0.09415375,Fruits_and_Vegetables,165.7526,24,small,tier_1,grocery_store,657.8104
14.0,low,0.028907832,Health_and_Hygiene,130.431,10,medium,tier_1,supermarket_type1,778.986
19.75,reg,0.018059621,Frozen_Foods,179.766,7,medium,tier_2,supermarket_type1,2336.958
6.525,low,0.090436094,Household,85.0882,10,medium,tier_1,supermarket_type1,2233.0932
10.3,low,0.146399712,Meat,103.9648,10,medium,tier_1,supermarket_type1,1661.8368
5.78,reg,0.074264356,Snack_Foods,264.7568,10,medium,tier_1,supermarket_type1,4745.8224
11.85,reg,0.050186726,Fruits_and_Vegetables,164.1526,7,medium,tier_2,supermarket_type1,3124.5994
16.35,low,0.020631654,Fruits_and_Vegetables,50.1324,0,medium,tier_3,supermarket_type2,467.3916
12.6,low,0.01561108,Household,182.5976,24,medium,tier_3,supermarket_type3,5070.7328
10.5,low,0.041395445,Fruits_and_Vegetables,37.6164,12,small,tier_1,supermarket_type1,540.6296
19.0,reg,0.097313129,Frozen_Foods,48.0718,12,small,tier_1,supermarket_type1,992.7078
14.6,low,0.059582996,Others,238.8538,10,medium,tier_1,supermarket_type1,6008.845
12.6,reg,0.098663652,Dairy,62.9194,24,medium,tier_3,supermarket_type3,2105.2596
12.6,reg,0.101338651,Canned,232.63,24,medium,tier_3,supermarket_type3,5359.69
18.75,low,0.052146456,Health_and_Hygiene,104.628,7,medium,tier_2,supermarket_type1,745.696
5.26,reg,0.041764487,Baking_Goods,161.8868,5,small,tier_2,supermarket_type1,3275.736
18.25,low,0.054344186,Snack_Foods,140.2154,7,small,tier_2,supermarket_type1,1701.7848
12.6,low,0.078362484,Baking_Goods,177.937,24,medium,tier_3,supermarket_type3,6501.8699
15.1,low,0.052339069,Meat,242.7512,12,small,tier_1,supermarket_type1,4119.9704
15.5,reg,0.042464962,Baking_Goods,81.5934,11,small,tier_3,grocery_store,327.5736
13.65,low,0.065732883,Frozen_Foods,45.7402,10,medium,tier_1,supermarket_type1,780.9834
16.1,low,0.023625114,Soft_Drinks,189.3846,7,medium,tier_2,supermarket_type1,3630.6074
12.6,reg,0.051643608,Snack_Foods,107.3622,24,small,tier_1,grocery_store,317.5866
12.85,low,0.165694219,Frozen_Foods,39.7164,11,small,tier_3,grocery_store,231.6984
9.5,low,0.041878397,Soft_Drinks,32.99,5,small,tier_2,supermarket_type1,133.16
13.8,low,0.058091482,Dairy,245.1802,5,small,tier_2,supermarket_type1,5650.6446
5.78,reg,0.0,Snack_Foods,263.7568,2,small,tier_2,supermarket_type1,2636.568
19.7,low,0.026903714,Household,96.0726,7,small,tier_2,supermarket_type1,1272.3438
14.65,low,0.0,Household,161.5552,11,small,tier_3,grocery_store,324.9104
6.67,reg,0.150554711,Snack_Foods,130.0626,11,small,tier_3,grocery_store,131.1626
6.11,reg,0.0,Fruits_and_Vegetables,131.2968,11,small,tier_3,grocery_store,260.9936
13.65,reg,0.134975628,Frozen_Foods,260.0936,11,small,tier_3,grocery_store,260.9936
17.2,low,0.15616879,Meat,160.6578,22,high,tier_3,supermarket_type1,3690.5294
6.32,low,0.0,Meat,40.2822,5,small,tier_2,supermarket_type1,1139.1838
4.88,reg,0.133700752,Baking_Goods,52.9298,10,medium,tier_1,supermarket_type1,1995.4026
5.425,reg,0.115119905,Baking_Goods,88.3514,2,medium,tier_2,supermarket_type1,1416.8224
15.85,reg,0.110030997,Frozen_Foods,37.2506,12,small,tier_1,supermarket_type1,265.6542
7.5,low,0.051038045,Canned,121.7072,2,small,tier_2,supermarket_type1,3552.7088
12.65,low,0.062837968,Soft_Drinks,161.5578,22,high,tier_3,supermarket_type1,2406.867
12.6,low,0.017116983,Others,211.956,24,small,tier_1,grocery_store,213.056
20.75,low,0.024129332,Fruits_and_Vegetables,124.173,22,high,tier_3,supermarket_type1,2956.152
12.6,low,0.049754975,Dairy,152.134,24,small,tier_1,grocery_store,153.134
9.0,low,0.0,Canned,79.7644,5,small,tier_2,supermarket_type1,1649.8524
12.6,low,0.101561568,Canned,181.9292,24,medium,tier_3,supermarket_type3,3101.2964
12.6,low,0.005949644,Household,165.6526,24,medium,tier_3,supermarket_type3,4769.1254
12.6,reg,0.13956116,Seafood,170.4764,24,medium,tier_3,supermarket_type3,3435.528
14.1,low,0.126035694,Fruits_and_Vegetables,86.4198,7,medium,tier_2,supermarket_type1,1133.8574
7.55,low,0.027164679,Canned,152.334,5,small,tier_2,supermarket_type1,2603.278
13.0,low,0.099325278,Household,45.406,12,small,tier_1,supermarket_type1,605.878
12.6,low,0.04357366,Hard_Drinks,192.8846,24,medium,tier_3,supermarket_type3,2293.0152
12.6,reg,0.082741482,Snack_Foods,118.7782,24,small,tier_1,grocery_store,119.1782
12.3,reg,0.064565202,Starchy_Foods,92.9804,22,high,tier_3,supermarket_type1,1929.4884
12.6,low,0.084554569,Snack_Foods,109.8912,24,medium,tier_3,supermarket_type3,2074.6328
12.6,low,0.058451805,Health_and_Hygiene,79.9618,24,medium,tier_3,supermarket_type3,241.6854
17.25,low,0.113748685,Household,251.3724,7,medium,tier_2,supermarket_type1,6501.8699
15.85,low,0.020603511,Household,42.7112,2,medium,tier_2,supermarket_type1,639.168
18.85,low,0.052044976,Health_and_Hygiene,192.1846,5,small,tier_2,supermarket_type1,3248.4382
16.35,reg,0.062764429,Fruits_and_Vegetables,227.6062,2,small,tier_2,supermarket_type1,6501.8699
14.1,low,0.087977262,Dairy,229.0668,5,small,tier_2,supermarket_type1,3225.1352
7.905,low,0.010010425,Snack_Foods,249.0408,5,small,tier_2,supermarket_type1,3755.112
12.0,low,0.033946163,Canned,179.3976,22,high,tier_3,supermarket_type1,3440.8544
12.15,reg,0.058414678,Fruits_and_Vegetables,163.4552,5,small,tier_2,supermarket_type1,974.7312
10.1,low,0.027106459,Meat,75.367,10,medium,tier_1,supermarket_type1,535.969
17.5,low,0.027022883,Frozen_Foods,262.491,2,medium,tier_2,supermarket_type1,5259.82
12.6,low,0.058153409,Dairy,152.034,24,small,tier_1,grocery_store,306.268
17.1,low,0.128937661,Fruits_and_Vegetables,112.3886,0,medium,tier_3,supermarket_type2,1779.0176
7.785,low,0.088846306,Fruits_and_Vegetables,61.451,10,medium,tier_1,supermarket_type1,759.012
11.8,reg,0.09357779,Snack_Foods,125.9704,22,high,tier_3,supermarket_type1,1877.556
13.15,reg,0.165694678,Fruits_and_Vegetables,171.8764,7,high,tier_2,supermarket_type1,3779.0808
12.6,low,0.148392623,Frozen_Foods,41.5796,24,small,tier_1,grocery_store,41.2796
8.5,low,0.098438394,Canned,51.1324,2,small,tier_2,supermarket_type1,259.662
8.645,low,0.143303291,Health_and_Hygiene,96.341,22,high,tier_3,supermarket_type1,193.082
17.6,reg,0.076276208,Meat,110.9202,7,high,tier_2,supermarket_type1,1687.803
9.1,low,0.175103435,Baking_Goods,127.5362,2,high,tier_2,supermarket_type1,4655.9394
12.8,reg,0.023511371,Meat,225.9404,22,high,tier_3,supermarket_type1,4950.8888
7.63,low,0.06105276,Soft_Drinks,95.4436,5,small,tier_2,supermarket_type1,1418.154
9.285,reg,0.049559042,Frozen_Foods,246.4144,2,small,tier_2,supermarket_type1,1225.072
13.6,reg,0.119418124,Dairy,231.03,7,small,tier_2,supermarket_type1,5359.69
8.895,low,0.072545601,Breakfast,176.237,7,small,tier_2,supermarket_type1,1764.37
16.35,low,0.090486828,Household,195.211,22,high,tier_3,supermarket_type1,2553.343
17.6,low,0.056245075,Frozen_Foods,43.3454,22,high,tier_3,supermarket_type1,1006.6896
7.975,low,0.014618973,Baking_Goods,85.225,22,high,tier_3,supermarket_type1,1081.925
15.85,low,0.043479126,Starchy_Foods,36.7164,2,high,tier_2,supermarket_type1,308.9312
15.7,low,0.045166237,Frozen_Foods,178.666,22,high,tier_3,supermarket_type1,2516.724
8.985,reg,0.057827101,Frozen_Foods,128.831,12,small,tier_1,supermarket_type1,1428.141
20.35,low,0.089394766,Dairy,260.1594,22,high,tier_3,supermarket_type1,2093.2752
6.59,low,0.10550944,Fruits_and_Vegetables,85.6908,22,high,tier_3,supermarket_type1,1929.4884
19.85,low,0.005234153,Dairy,264.0884,5,small,tier_2,supermarket_type1,5829.7448
16.85,low,0.036390174,Snack_Foods,91.4488,12,small,tier_1,supermarket_type1,2082.6224
12.6,low,0.03292824,Meat,173.1738,24,medium,tier_3,supermarket_type3,6501.8699
16.75,low,0.081252534,Fruits_and_Vegetables,256.4988,22,high,tier_3,supermarket_type1,6501.8699
17.6,reg,0.076552407,Meat,110.5202,2,high,tier_2,supermarket_type1,450.0808
7.905,low,0.016758569,Snack_Foods,250.4408,11,high,tier_3,grocery_store,500.6816
12.6,low,0.044248175,Snack_Foods,126.202,24,medium,tier_3,supermarket_type3,3668.558
7.785,reg,0.038288087,Fruits_and_Vegetables,103.1964,0,medium,tier_3,supermarket_type2,736.3748
7.825,low,0.186032678,Household,253.0698,5,small,tier_2,supermarket_type1,6088.0752
12.6,low,0.031867464,Household,101.0016,24,medium,tier_3,supermarket_type3,2125.2336
20.75,low,0.021370201,Soft_Drinks,153.0024,2,medium,tier_2,supermarket_type1,2277.036
12.6,low,0.193772568,Fruits_and_Vegetables,190.3846,24,small,tier_1,grocery_store,573.2538
6.26,reg,0.009866049,Meat,151.1366,5,small,tier_2,supermarket_type1,2267.049
18.2,low,0.082551042,Fruits_and_Vegetables,147.3734,11,small,tier_3,grocery_store,296.9468
13.0,low,0.099729888,Household,46.306,0,medium,tier_3,supermarket_type2,559.272
20.25,reg,0.018801549,Fruits_and_Vegetables,222.1772,5,small,tier_2,supermarket_type1,5559.43
8.695,low,0.119721451,Household,95.5094,10,medium,tier_1,supermarket_type1,1237.7222
7.27,low,0.071222087,Soft_Drinks,113.5518,7,medium,tier_2,supermarket_type1,569.259
12.6,reg,0.060371962,Breakfast,174.0712,24,medium,tier_3,supermarket_type3,3866.9664
12.85,low,0.033287541,Fruits_and_Vegetables,198.4768,7,medium,tier_2,supermarket_type1,1379.5376
7.075,low,0.05858462,Dairy,142.7128,0,medium,tier_3,supermarket_type2,1869.5664
